Rank,Who,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
1.0,048. WHOAMI Final Battle: MinaRagy06- AbdelmagedNour,13.0,1062.0,+00:14,+00:14,+00:31,,+02:13,+102:21,+201:04,+01:04,+01:13,+01:48,+00:36,+03:41,+01:01,,+100:22,
2.0,003. Katkoten W Tmra: Moatazoleq- M0N,12.0,1207.0,+00:25,+00:25,+01:04,,+02:52,+02:52,+301:36,+01:37,+02:33,+02:34,+00:19,,+101:51,,+00:39,
3.0,043. 50 Green Jits: 3mara- SirPh,12.0,1335.0,+00:15,+00:14,+101:53,,+02:47,+102:56,+01:32,+701:32,+02:13,+03:41,+00:29,,+01:11,,+100:12,
4.0,059. Timon w Pumbaa: Amigoo- Sersawy,11.0,904.0,+00:27,+00:27,+01:50,,+02:31,+202:51,+00:09,+201:07,+02:38,,+00:22,,+00:49,,+00:33,
5.0,005. 2-SAD: _ahmed_tawfik_- ahmed.elbakly,11.0,923.0,+200:24,+00:24,+101:34,,+02:05,+02:11,+100:45,+101:46,+02:36,,+00:17,,+01:10,,+00:31,
6.0,035. Strangers: 3bkarm- Eslam_Saleh,11.0,996.0,+00:23,+00:23,+01:29,,+03:25,+03:25,+00:42,+02:23,+02:08,-1,+00:58,,+01:06,,+00:14,-5
7.0,070. Heisendoksh: Kareem_Elgoker- _Sherbiny,11.0,1048.0,+00:45,+00:45,+00:40,-2.0,,,+101:10,+101:25,+01:59,-1,+100:07,+03:33,+101:33,,+00:58,+102:53
8.0,076. مؤمن بالله وانا ادهم: momen159- Mysterious109,11.0,1184.0,+100:07,+00:09,+01:53,,+203:27,+203:53,+200:47,+301:35,+02:31,,+00:26,,+01:04,,+00:32,
9.0,022. 4SITP: Mr.Pie- yahia,11.0,1195.0,+00:11,+00:11,+00:49,,+103:11,+03:11,+701:38,+03:35,+01:49,-3,+00:07,,+101:27,,+100:26,
10.0,067. Maharat Da3: Chinese_- SkillZz_,11.0,1250.0,+00:14,+00:30,+00:55,,+02:44,+203:41,+101:18,+201:30,+203:59,,+01:04,,+101:48,,+00:27,
11.0,021. Saad Nabeha: -Berry-- AhmedPlusPlus,11.0,1307.0,+00:18,+00:18,+01:15,,+02:39,+02:39,+301:30,+1003:59,+02:56,,+00:11,-1,+00:53,,+100:29,
12.0,001. سد النهضة: MahmoudKhater- WisdomCasual,11.0,1385.0,+00:31,+00:31,+02:36,,+02:00,+02:01,+303:03,+03:04,+103:32,,+100:25,,+02:55,,+00:47,
